examples.offloadDebugApp.NumbersFaceDetect_1,examples.offloadDebugApp.NumbersFaceDetect_2,examples.offloadDebugApp.NumbersFaceDetect_3,examples.offloadDebugApp.NumbersFaceDetect_4,examples.offloadDebugApp.NumbersFaceDetect_5,examples.offloadDebugApp.NumbersFaceDetect_6,examples.offloadDebugApp.NumbersFaceDetect_7,examples.offloadDebugApp.NumbersFaceDetect_8,examples.offloadDebugApp.NumbersFaceDetect_9,examples.offloadDebugApp.NumbersFaceDetect_10,examples.offloadDebugApp.NumbersFaceDetect_11,examples.offloadDebugApp.NumbersFaceDetect_12,examples.offloadDebugApp.NumbersFaceDetect_13,examples.offloadDebugApp.NumbersFaceDetect_14,examples.offloadDebugApp.NumbersFaceDetect_15,examples.offloadDebugApp.NumbersFaceDetect_16,examples.offloadDebugApp.NumbersFaceDetect_17,examples.offloadDebugApp.NumbersFaceDetect_18,examples.offloadDebugApp.NumbersFaceDetect_19,examples.offloadDebugApp.NumbersFaceDetect_20,examples.offloadDebugApp.NumbersFaceDetect_21,examples.offloadDebugApp.NumbersFaceDetect_22,examples.offloadDebugApp.NumbersFaceDetect_23,examples.offloadDebugApp.NumbersFaceDetect_24,BatteryDropTime
3.0,0.0,2.0,0.0,0.0,6.0,86.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0
3.0,0.0,125.0,27.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.0
1.0,1.0,2.0,0.0,0.0,2.0,84.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0
1.0,0.0,117.0,24.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.0
3.0,0.0,3.0,0.0,5.0,0.0,103.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.0
1.0,0.0,159.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321.0
1.0,0.0,1.0,0.0,0.0,0.0,41.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0
3.0,0.0,194.0,44.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373.0
2.0,0.0,0.0,0.0,0.0,1.0,61.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0
0.0,0.0,140.0,44.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.0
4.0,0.0,0.0,1.0,0.0,2.0,99.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0
1.0,0.0,130.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.0
1.0,0.0,1.0,0.0,0.0,0.0,60.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0
3.0,5.0,166.0,24.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.0
2.0,0.0,1.0,0.0,0.0,0.0,59.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0
4.0,6.0,153.0,31.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0
2.0,0.0,0.0,0.0,0.0,0.0,60.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0
